datetime,hora,temp_ar,umidade,vento_vel,precipitacao,pressao,hora_num,mes,ESTACAO_ID
2024-01-05 14:00:00,14:00,30.8,55.0,1.0,0.0,969.4,14,1,petrolina
2024-01-05 15:00:00,15:00,32.5,52.0,2.0,0.0,968.8,15,1,petrolina
2024-01-05 16:00:00,16:00,33.7,47.0,1.5,0.0,967.8,16,1,petrolina
2024-01-05 17:00:00,17:00,33.9,47.0,2.5,0.0,966.7,17,1,petrolina
2024-01-05 18:00:00,18:00,33.6,46.0,2.4,0.0,965.9,18,1,petrolina
2024-01-05 19:00:00,19:00,33.9,45.0,2.2,0.0,965.4,19,1,petrolina
2024-01-05 20:00:00,20:00,33.2,47.0,1.9,0.0,965.3,20,1,petrolina
2024-01-05 21:00:00,21:00,32.4,50.0,1.9,0.0,965.7,21,1,petrolina
2024-01-05 22:00:00,22:00,31.2,55.0,0.7,0.0,966.4,22,1,petrolina
2024-01-05 23:00:00,23:00,30.4,60.0,1.0,0.0,967.1,23,1,petrolina
2024-01-06 00:00:00,00:00,29.4,63.0,0.8,0.0,968.0,0,1,petrolina
2024-01-06 01:00:00,01:00,28.6,68.0,1.3,0.0,968.4,1,1,petrolina
2024-01-06 02:00:00,02:00,28.0,73.0,1.5,0.0,968.5,2,1,petrolina
2024-01-06 03:00:00,03:00,27.1,79.0,1.2,0.0,968.3,3,1,petrolina
2024-01-06 04:00:00,04:00,26.5,81.0,0.7,0.0,967.6,4,1,petrolina
2024-01-06 05:00:00,05:00,26.1,83.0,1.2,0.0,967.5,5,1,petrolina
2024-01-06 06:00:00,06:00,26.8,75.0,1.2,0.0,968.1,6,1,petrolina
2024-01-06 07:00:00,07:00,27.3,70.0,2.3,0.0,968.5,7,1,petrolina
2024-01-06 08:00:00,08:00,26.6,74.0,2.6,0.0,968.9,8,1,petrolina
2024-01-06 09:00:00,09:00,26.2,76.0,3.5,0.0,969.2,9,1,petrolina
2024-01-06 10:00:00,10:00,27.4,72.0,3.5,0.0,969.9,10,1,petrolina
2024-01-06 11:00:00,11:00,28.566666666666666,67.33333333333333,3.1333333333333333,0.0,969.9333333333333,11,1,petrolina
2024-01-06 12:00:00,12:00,29.73333333333333,62.666666666666664,2.7666666666666666,0.0,969.9666666666667,12,1,petrolina
2024-01-06 13:00:00,13:00,30.9,58.0,2.4,0.0,970.0,13,1,petrolina
2024-01-06 14:00:00,14:00,32.0,54.0,2.5,0.0,969.4,14,1,petrolina
2024-01-06 15:00:00,15:00,33.3,49.0,2.6,0.0,968.5,15,1,petrolina
2024-01-06 16:00:00,16:00,34.0,47.0,2.8,0.0,967.6,16,1,petrolina
2024-01-06 17:00:00,17:00,34.4,44.0,3.3,0.0,966.6,17,1,petrolina
2024-01-06 18:00:00,18:00,34.4,41.0,2.6,0.0,965.6,18,1,petrolina
2024-01-06 19:00:00,19:00,35.1,39.0,1.7,0.0,965.7,19,1,petrolina
2024-01-06 20:00:00,20:00,34.6,39.0,1.7,0.0,965.5,20,1,petrolina
2024-01-06 21:00:00,21:00,33.4,42.0,1.3,0.0,965.6,21,1,petrolina
2024-01-06 22:00:00,22:00,32.9,44.0,1.1,0.0,966.2,22,1,petrolina
2024-01-06 23:00:00,23:00,30.2,58.0,2.1,0.0,966.8,23,1,petrolina
2024-01-07 00:00:00,00:00,29.7,59.0,1.0,0.0,967.6,0,1,petrolina
2024-01-07 01:00:00,01:00,29.743181818181817,58.63636363636363,1.0295454545454545,0.0,967.5977272727273,1,1,petrolina
2024-01-07 02:00:00,02:00,29.786363636363635,58.27272727272727,1.059090909090909,0.0,967.5954545454546,2,1,petrolina
2024-01-07 03:00:00,03:00,29.829545454545453,57.90909090909091,1.0886363636363636,0.0,967.5931818181818,3,1,petrolina
2024-01-07 04:00:00,04:00,29.87272727272727,57.54545454545455,1.1181818181818182,0.0,967.5909090909091,4,1,petrolina
2024-01-07 05:00:00,05:00,29.91590909090909,57.18181818181818,1.1477272727272727,0.0,967.5886363636364,5,1,petrolina
2024-01-07 06:00:00,06:00,29.959090909090907,56.81818181818182,1.1772727272727272,0.0,967.5863636363637,6,1,petrolina
2024-01-07 07:00:00,07:00,30.002272727272725,56.45454545454545,1.2068181818181818,0.0,967.584090909091,7,1,petrolina
2024-01-07 08:00:00,08:00,30.045454545454547,56.09090909090909,1.2363636363636363,0.0,967.5818181818182,8,1,petrolina
2024-01-07 09:00:00,09:00,30.088636363636365,55.72727272727273,1.2659090909090909,0.0,967.5795454545455,9,1,petrolina
2024-01-07 10:00:00,10:00,30.131818181818183,55.36363636363637,1.2954545454545454,0.0,967.5772727272728,10,1,petrolina
2024-01-07 11:00:00,11:00,30.175,55.0,1.325,0.0,967.575,11,1,petrolina
2024-01-07 12:00:00,12:00,30.21818181818182,54.63636363636364,1.3545454545454545,0.0,967.5727272727273,12,1,petrolina
2024-01-07 13:00:00,13:00,30.261363636363637,54.27272727272727,1.384090909090909,0.0,967.5704545454546,13,1,petrolina
2024-01-07 14:00:00,14:00,30.304545454545455,53.90909090909091,1.4136363636363636,0.0,967.5681818181819,14,1,petrolina
2024-01-07 15:00:00,15:00,30.347727272727273,53.54545454545455,1.4431818181818181,0.0,967.5659090909091,15,1,petrolina
2024-01-07 16:00:00,16:00,30.39090909090909,53.18181818181818,1.4727272727272727,0.0,967.5636363636364,16,1,petrolina
2024-01-07 17:00:00,17:00,30.43409090909091,52.81818181818182,1.5022727272727272,0.0,967.5613636363637,17,1,petrolina
2024-01-07 18:00:00,18:00,30.477272727272727,52.45454545454545,1.5318181818181817,0.0,967.559090909091,18,1,petrolina
2024-01-07 19:00:00,19:00,30.520454545454545,52.09090909090909,1.5613636363636363,0.0,967.5568181818182,19,1,petrolina
2024-01-07 20:00:00,20:00,30.563636363636363,51.72727272727273,1.5909090909090908,0.0,967.5545454545455,20,1,petrolina
2024-01-07 21:00:00,21:00,30.60681818181818,51.36363636363637,1.6204545454545454,0.0,967.5522727272728,21,1,petrolina
2024-01-07 22:00:00,22:00,30.65,51.0,1.65,0.0,967.55,22,1,petrolina
2024-01-07 23:00:00,23:00,30.69318181818182,50.63636363636364,1.6795454545454545,0.0,967.5477272727272,23,1,petrolina
